"","X","Count","Area","ScaleLength","Total","Id","CRNid","PopCount","WBAN","LONGITUDE","LATITUDE","NETWORK","OPERATION","STATUS","Area30m","ScaleLength30m"
"1",1,53,4.77,2.18403296678416,15489,1,1,9071.4542091368,3047,-102.8,31.62,"USCRN","Operational","Commissioned",121.4802,11.0218056596912
"2",2,92,8.28,2.87749891398763,15956,2,2,1961.18139832067,3048,-106.88,34.35,"USCRN","Operational","Commissioned",10.6533,3.26393933767158
"3",3,1,0.09,0.3,15894,3,3,527.545521203807,3054,-102.77,33.95,"USCRN","Operational","Commissioned",12.5253,3.53911005762748
"4",4,107,9.63,3.10322412983658,16398,4,4,14718.1116451581,3055,-101.59,36.59,"USCRN","Operational","Commissioned",28.9062,5.37644864199408
"5",5,262,23.58,4.85592421687159,16820,5,5,29265.2075515068,3060,-107.69,38.54,"USCRN","Operational","Commissioned",32.9157,5.7372205814314
"6",6,55,4.95,2.2248595461287,16544,6,6,16312.6666781681,3061,-108.5,37.25,"USCRN","Operational","Commissioned",18.5589,4.30800417827095
"7",7,97,8.73,2.95465734053883,16252,7,7,7830.79945849023,3062,-106.52,35.85,"USCRN","Operational","Commissioned",13.0257,3.60911346455054
"8",8,0,0,0,16667,8,8,455.514005993217,3063,-103.82,37.86,"USCRN","Operational","Commissioned",6.5169,2.55282196794058
"9",9,0,0,0,16908,9,9,136.782151785737,3067,-100.96,38.87,"USCRN","Operational","Commissioned",2.6568,1.62996932486474
"10",10,38,3.42,1.84932420089069,15551,10,10,2187.10019941055,3072,-100.24,32.04,"USCRN","Operational","Commissioned",12.3489,3.51410016931789
"11",11,6,0.54,0.734846922834953,15647,11,11,1860.79040773891,3074,-106.74,32.61,"USCRN","Operational","Commissioned",2.9349,1.71315498423231
"12",12,52,4.68,2.16333076527839,15744,12,12,5381.46915905582,3728,-79.36,33.15,"USCRN","Operational","Commissioned",4.5261,2.12746327817897
"13",13,5,0.45,0.670820393249937,16922,13,13,5849.53117400342,3733,-79.47,39.01,"USCRN","Operational","Commissioned",4.8888,2.21106309272259
"14",14,66,5.94,2.43721152139079,16541,14,14,7676.82005686918,3739,-75.92,37.29,"USCRN","Operational","Commissioned",6.3828,2.52642039257128
"15",15,2119,190.71,13.8097791437807,16274,15,15,365493.572005436,3758,-79.09,35.97,"USCRN","Operational","Commissioned",177.6087,13.3269914084162
"16",16,583,52.47,7.24361788058978,16700,16,16,152199.462716356,3759,-78.46,37.99,"USCRN","Operational","Commissioned",76.2462,8.73190700820846
"17",17,2993,269.37,16.4124952399079,17144,17,17,388997.106119812,3761,-75.78,39.85,"USCRN","Operational","Commissioned",159.3432,12.6231216424465
"18",18,0,0,0,18444,18,18,316.249050816364,4125,-119.64,44.55,"USCRN","Operational","Commissioned",0.8595,0.927092228421747
"19",19,4,0.36,0.6,18102,19,19,27.4592911352738,4126,-113.55,43.46,"USCRN","Operational","Commissioned",2.3688,1.53909064060568
"20",20,1,0.09,0.3,18044,20,20,746.647872710419,4127,-116.75,43.2,"USCRN","Operational","Commissioned",0.8874,0.942019108086455
"21",21,0,0,0,18114,21,21,62.4970026309511,4128,-119.69,43.47,"USCRN","Operational","Commissioned",5.2614,2.29377418243383
"22",22,49,4.41,2.1,19910,22,22,466.252001655756,4130,-113.43,48.74,"USCRN","Operational","Commissioned",1.3068,1.14315353299546
"23",23,9,0.81,0.9,18175,23,23,4412.47876327405,4131,-110.71,43.66,"USCRN","Operational","Commissioned",6.5619,2.56162058080427
"24",24,201,18.09,4.25323406362735,19406,24,24,24447.1132057528,4136,-117.52,47.41,"USCRN","Operational","Commissioned",11.7711,3.43090367104645
"25",25,23,2.07,1.43874945699382,18646,25,25,409.302332455094,4137,-113,45.15,"USCRN","Operational","Commissioned",1.0701,1.034456378974
"26",26,16,1.44,1.2,17582,26,26,353.089260049561,4138,-112.54,41.61,"USCRN","Operational","Commissioned",11.4408,3.3824251654693
"27",27,0,0,0,17643,27,27,2.43142201479293,4139,-119.63,41.84,"USCRN","Operational","Commissioned",0,0
"28",28,0,0,0,19224,28,28,168.548988731086,4140,-110.28,46.88,"USCRN","Operational","Commissioned",0,0
"29",29,560,50.4,7.09929573971954,18060,29,29,48278.5795229739,4141,-124.31,43.27,"USCRN","Operational","Commissioned",53.6175,7.32239714847535
"30",30,608,54.72,7.39729680356277,17346,30,30,43734.9983091458,4222,-122.6,40.65,"USCRN","Operational","Commissioned",54.0396,7.35116317326721
"31",31,208,18.72,4.32666153055679,19828,31,31,1474.9399133033,4223,-121.44,48.54,"USCRN","Operational","Commissioned",0.3276,0.572363520850167
"32",32,433,38.97,6.24259561400544,18395,32,32,63824.5587461236,4236,-123.32,44.41,"USCRN","Operational","Commissioned",25.7967,5.07904518585925
"33",33,2,0.18,0.424264068711929,19444,33,33,909.757333036744,4237,-123.81,47.51,"USCRN","Operational","Commissioned",0.9774,0.988635423197045
"34",34,258,23.22,4.8187135212627,18201,34,34,37256.0637245271,4990,-96.62,43.73,"USCRN","Operational","Commissioned",50.1768,7.08355842779602
"35",35,0,0,0,19748,35,35,1251.19079221348,4994,-95.87,48.3,"USCRN","Operational","Commissioned",0.8694,0.932416216075203
"36",36,31,2.79,1.67032930884901,14749,36,36,29440.2270025892,12987,-98.06,26.52,"USCRN","Operational","Commissioned",28.7703,5.36379529810749
"37",37,85,7.65,2.76586333718787,17141,37,37,9020.07518609668,13301,-93.14,39.86,"USCRN","Operational","Commissioned",15.2361,3.90334471959626
"38",38,0,0,0,15120,38,38,150.848883105301,22016,-103.2,29.34,"USCRN","Operational","Commissioned",3.4272,1.85126983446498
"39",39,77,6.93,2.63248931621764,16040,39,39,24372.9107423667,23803,-89.43,34.82,"USCRN","Operational","Commissioned",19.8666,4.45719642824949
"40",40,143,12.87,3.58747822293042,16243,40,40,27221.763143928,23904,-91.78,35.82,"USCRN","Operational","Commissioned",27.3987,5.23437675373105
"41",41,50,4.5,2.12132034355964,14981,41,41,2641.44757851224,23906,-96.82,28.3,"USCRN","Operational","Commissioned",6.4521,2.54009842328993
"42",42,157,14.13,3.7589892258425,15324,42,42,38124.299503102,23907,-98.08,30.62,"USCRN","Operational","Commissioned",39.1113,6.25390278146375
"43",43,363,32.67,5.7157676649773,16574,43,43,36282.5592282668,23908,-94.58,37.42,"USCRN","Operational","Commissioned",62.91,7.93158243984137
"44",44,85,7.65,2.76586333718787,16632,44,44,18787.0028878842,23909,-91.72,37.63,"USCRN","Operational","Commissioned",16.4007,4.04977777168081
"45",45,20,1.8,1.34164078649987,24101,45,45,8838.92750010026,25379,-135.32,57.05,"USCRN","Operational","Commissioned",6.4197,2.53371269089453
"46",46,15,1.35,1.16189500386223,25020,46,46,413.993523401667,25380,-135.69,58.42,"USCRN","Operational","Commissioned",1.161,1.07749709976408
"47",47,3,0.27,0.519615242270663,22880,47,47,1394.77506266521,25381,-131.58,55.04,"USCRN","Operational","Commissioned",3.3129,1.8201373574541
"48",48,0,0,0,24871,48,48,0,25522,-155.92,58.2,"USCRN","Operational","Commissioned",0,0
"49",49,2,0.18,0.424264068711929,23054,49,49,1054.23316287224,25630,-160.46,55.34,"USCRN","Operational","Commissioned",0.9441,0.971648084442099
"50",50,2,0.18,0.424264068711929,24159,50,50,479.999980767589,25711,-170.21,57.15,"USCRN","Operational","Commissioned",0.567,0.752994023880668
"51",51,709,63.81,7.98811617341661,30929,51,51,63006.5306184423,26494,-147.51,64.97,"USCRN","Operational","Commissioned",76.0752,8.72210983650172
"52",52,0,0,0,26349,52,52,153.448484977353,26562,-154.31,60.19,"USCRN","Operational","Commissioned",0.5121,0.715611626512594
"53",53,0,0,0,26771,53,53,8.42909782560309,26563,-150.44,60.72,"USCRN","Operational","Commissioned",0,0
"54",54,0,0,0,35660,54,54,0,26564,-155.75,68.48,"USCRN","Operational","Commissioned",0,0
"55",55,6,0.54,0.734846922834953,38530,55,55,1964.7965964235,26565,-148.46,70.16,"USCRN","Operational","Commissioned",9.7983,3.13022363418335
"56",56,0,0,0,34942,56,56,316.004269236713,26655,-162.92,68.02,"USCRN","Operational","Commissioned",4.5387,2.13042249330972
"57",57,2,0.18,0.424264068711929,40823,57,57,4759.9999360533,27516,-156.61,71.32,"USCRN","Operational","Commissioned",5.9634,2.44200737099625
"58",58,2881,259.29,16.1024842803836,15586,58,58,373446.346398063,53131,-111.16,32.23,"USCRN","Operational","Commissioned",339.0597,18.4135737976092
"59",59,107,9.63,3.10322412983658,15482,59,59,19516.9978184851,53132,-110.5,31.59,"USCRN","Operational","Commissioned",36.6921,6.05740043252879
"60",60,65,5.85,2.41867732448956,16406,60,60,113.622235475543,53136,-116.02,36.62,"USCRN","Operational","Commissioned",8.6976,2.94916937458668
"61",61,0,0,0,16929,61,61,275.130179737946,53138,-114.2,39.01,"USCRN","Operational","Commissioned",5.2614,2.29377418243383
"62",62,15,1.35,1.16189500386223,16403,62,62,39.9994574802304,53139,-117.14,36.6,"USCRN","Operational","Commissioned",1.1529,1.0737318100904
"63",63,0,0,0,16789,63,63,750.7588155584,53149,-111.29,38.3,"USCRN","Operational","Commissioned",5.3928,2.32224029764364
"64",64,3,0.27,0.519615242270663,16653,64,64,1208.61230945421,53150,-119.82,37.75,"USCRN","Operational","Commissioned",0.1962,0.442944691807002
"65",65,2154,193.86,13.9233616630468,15798,65,65,351316.04986297,53151,-117.19,33.43,"USCRN","Operational","Commissioned",310.6674,17.6257595581013
"66",66,1022,91.98,9.59062041788747,15963,66,66,182917.592603578,53152,-119.87,34.41,"USCRN","Operational","Commissioned",90.6831,9.52276745489461
"67",67,83,7.47,2.73313007374329,15683,67,67,4153.337567612,53154,-114.18,32.83,"USCRN","Operational","Commissioned",8.8425,2.97363414023985
"68",68,2,0.18,0.424264068711929,16230,68,68,266.729813812242,53155,-112.33,35.75,"USCRN","Operational","Commissioned",1.8918,1.37542720636172
"69",69,1307,117.63,10.8457364895151,16175,69,69,238719.437455615,53877,-82.61,35.49,"USCRN","Operational","Commissioned",190.926,13.817597475683
"70",70,1250,112.5,10.6066017177982,16154,70,70,215248.600486996,53878,-82.55,35.41,"USCRN","Operational","Commissioned",171.2844,13.0875666187416
"71",71,419,37.71,6.14084684713762,16292,71,71,67782.2462513683,53926,-97.09,36.11,"USCRN","Operational","Commissioned",39.7215,6.30249950416499
"72",72,421,37.89,6.15548535860496,16310,72,72,67511.6440182923,53927,-97.1,36.13,"USCRN","Operational","Commissioned",40.7178,6.38105007032542
"73",73,914,82.26,9.06972987469858,15237,73,73,180550.211148236,53960,-91.87,30.09,"USCRN","Operational","Commissioned",124.1937,11.144222718521
"74",74,32,2.88,1.69705627484771,15694,74,74,7371.30503387778,53961,-92.11,32.88,"USCRN","Operational","Commissioned",15.0939,3.88508687161561
"75",75,183,16.47,4.05832477754061,15508,75,75,47936.3090438897,53968,-95.72,31.77,"USCRN","Operational","Commissioned",32.5026,5.70110515602019
"76",76,899,80.91,8.99499861033897,16964,76,76,84600.2830686404,53974,-96.6,39.1,"USCRN","Operational","Commissioned",68.436,8.2726053937076
"77",77,3295,296.55,17.2206271662794,18036,77,77,197727.916241192,54794,-70.92,43.17,"USCRN","Operational","Commissioned",120.789,10.9904049060988
"78",78,3701,333.09,18.2507534091062,18014,78,78,207738.214575045,54795,-70.94,43.1,"USCRN","Operational","Commissioned",123.7365,11.1236909342178
"79",79,1826,164.34,12.8195163715329,17546,79,79,149298.488635551,54796,-71.54,41.49,"USCRN","Operational","Commissioned",126.792,11.2601953801877
"80",80,1593,143.37,11.9737212260851,17556,80,80,135144.843189069,54797,-71.54,41.47,"USCRN","Operational","Commissioned",112.752,10.6184744667019
"81",81,1201,108.09,10.3966340706981,17195,81,81,183186.276464763,54808,-88.37,40.05,"USCRN","Operational","Commissioned",109.4058,10.4597227496717
"82",82,5,0.45,0.670820393249937,19029,82,82,3781.15132012138,54810,-86.92,46.33,"USCRN","Operational","Commissioned",2.4156,1.55422006163863
"83",83,541,48.69,6.9778220097678,17654,83,83,76470.1766687328,54811,-88.85,41.84,"USCRN","Operational","Commissioned",66.7656,8.17102196790585
"84",84,249,22.41,4.73392015141785,17264,84,84,50096.5982450992,54851,-81.78,40.36,"USCRN","Operational","Commissioned",33.4485,5.78346781784078
"85",85,317,28.53,5.34134814442946,18560,85,85,23450.6475461868,54854,-84.72,44.9,"USCRN","Operational","Commissioned",24.0183,4.90084686559374
"86",86,180,16.2,4.02492235949962,17579,86,86,42714.6948070064,54902,-93.28,41.55,"USCRN","Operational","Commissioned",43.7265,6.61260160602467
"87",87,118,10.62,3.25883414736006,18293,87,87,10054.4985233867,54903,-90.17,44.06,"USCRN","Operational","Commissioned",6.345,2.518928343562
"88",88,23,2.07,1.43874945699382,18953,88,88,12413.4641003477,54932,-92.99,46.11,"USCRN","Operational","Commissioned",8.0109,2.83035333483295
"89",89,8,0.72,0.848528137423857,18818,89,89,839.413029407769,54933,-99.12,45.71,"USCRN","Operational","Commissioned",2.2275,1.49248115565993
"90",90,2,0.18,0.424264068711929,19178,90,90,1219.75723599858,54937,-99.47,46.77,"USCRN","Operational","Commissioned",5.5962,2.36562888044596
"91",91,3,0.27,0.519615242270663,28854,91,91,42.9339445680204,56401,-145.5,63.02,"USCRN","Operational","Commissioned",0.2376,0.487442304278158
"92",92,174,15.66,3.95727178748188,15778,92,92,30110.4278109658,63826,-81.32,33.35,"USCRN","Operational","Commissioned",21.4353,4.62982721059868
"93",93,5,0.45,0.670820393249937,15427,93,93,4685.79244450668,63828,-84.47,31.31,"USCRN","Operational","Commissioned",8.0343,2.83448408003996
"94",94,1,0.09,0.3,15410,94,94,6036.09821114776,63829,-84.44,31.19,"USCRN","Operational","Commissioned",5.6412,2.37512104954674
"95",95,60,5.4,2.32379000772445,15599,95,95,15903.5249791276,63831,-89.07,32.33,"USCRN","Operational","Commissioned",21.4452,4.63089624154979
"96",96,1323,119.07,10.9119200876839,16717,96,96,190508.860793263,63838,-84.74,38.09,"USCRN","Operational","Commissioned",125.8632,11.2188769491425
"97",97,23,2.07,1.43874945699382,16545,97,97,18860.0231124822,63849,-86.23,37.25,"USCRN","Operational","Commissioned",0.9225,0.960468635614927
"98",98,495,44.55,6.6745786383861,15857,98,98,114891.7403225,63850,-83.38,33.78,"USCRN","Operational","Commissioned",70.596,8.40214258388895
"99",99,198,17.82,4.22137418384109,16274,99,99,52665.0497001148,63855,-85.13,36.01,"USCRN","Operational","Commissioned",42.4089,6.51221160589857
"100",100,484,43.56,6.6,15354,100,100,57467.0408115379,63856,-81.45,30.8,"USCRN","Operational","Commissioned",65.2689,8.07891700662904
"101",101,75,6.75,2.59807621135332,15949,101,101,44889.8066198234,63857,-85.96,34.28,"USCRN","Operational","Commissioned",13.7646,3.71006738483279
"102",102,127,11.43,3.38082830087539,15613,102,102,17384.9696683529,63858,-87.24,32.45,"USCRN","Operational","Commissioned",17.6229,4.19796379212589
"103",103,264,23.76,4.87442304278158,15304,103,103,111945.144711302,63869,-87.87,30.54,"USCRN","Operational","Commissioned",75.4992,8.68902756354242
"104",104,317,28.53,5.34134814442946,16913,104,104,49383.8111599486,63898,-86.57,38.88,"USCRN","Operational","Commissioned",28.9395,5.37954459039053
"105",105,1330,119.7,10.9407495172863,17641,105,105,164504.904312151,64756,-73.74,41.78,"USCRN","Operational","Commissioned",99.1566,9.95774070761034
"106",106,404,36.36,6.02992537267253,17813,106,106,73893.6579607021,64758,-76.24,42.44,"USCRN","Operational","Commissioned",39.6981,6.30064282434737
"107",107,1173,105.57,10.2747262737262,15023,107,107,90789.6259827522,92821,-80.69,28.61,"USCRN","Operational","Commissioned",98.3502,9.91716693416018
"108",108,19,1.71,1.3076696830622,14658,108,108,1498.69578931984,92826,-81.31,25.89,"USCRN","Operational","Commissioned",7.6545,2.76667670680909
"109",109,658,59.22,7.6954532030284,14823,109,109,20067.2998691062,92827,-81.36,27.15,"USCRN","Operational","Commissioned",36.4176,6.03469966112648
"110",110,441,39.69,6.3,16537,110,110,65157.7365191313,93243,-120.88,37.23,"USCRN","Operational","Commissioned",34.4628,5.87050253385517
"111",111,83,7.47,2.73313007374329,16785,111,111,14485.1627768334,93245,-123.07,38.32,"USCRN","Operational","Commissioned",3.2877,1.81320158835139
"112",112,0,0,0,19803,112,112,159.360527130077,94059,-105.2,48.48,"USCRN","Operational","Commissioned",0,0
"113",113,0,0,0,19748,113,113,273.485288003358,94060,-105.1,48.3,"USCRN","Operational","Commissioned",0,0
"114",114,22,1.98,1.40712472794703,17382,114,114,3694.9354602258,94074,-104.75,40.8,"USCRN","Operational","Commissioned",7.5465,2.74708936876833
"115",115,51,4.59,2.14242852856286,17185,115,115,13754.9097798157,94075,-105.54,40.03,"USCRN","Operational","Commissioned",1.242,1.1144505372604
"116",116,23,2.07,1.43874945699382,17814,116,116,129.477020188719,94077,-103.73,42.42,"USCRN","Operational","Commissioned",0.576,0.758946638440411
"117",117,94,8.46,2.9086079144498,17884,117,117,8544.24102872904,94078,-108.66,42.67,"USCRN","Operational","Commissioned",7.6266,2.76162995348761
"118",118,0,0,0,17709,118,118,182.679353014646,94079,-101.44,42.06,"USCRN","Operational","Commissioned",4.23,2.05669638012031
"119",119,19,1.71,1.3076696830622,19223,119,119,1391.49951367655,94080,-103.37,46.89,"USCRN","Operational","Commissioned",5.1957,2.2794078178334
"120",120,0,0,0,18746,120,120,122.253092084975,94081,-103.3,45.51,"USCRN","Operational","Commissioned",0.0909,0.301496268633627
"121",121,0,0,0,17229,121,121,548.701633908557,94082,-108.96,40.24,"USCRN","Operational","Commissioned",1.3221,1.14982607380421
"122",122,0,0,0,19999,122,122,783.321010872263,94084,-102.17,48.96,"USCRN","Operational","Commissioned",1.0089,1.00444014256699
"123",123,0,0,0,18277,123,123,377.130625595085,94085,-100.35,44.01,"USCRN","Operational","Commissioned",5.6799,2.3832540779363
"124",124,26,2.34,1.52970585407784,18426,124,124,2185.61300502264,94088,-104.43,44.51,"USCRN","Operational","Commissioned",4.5828,2.14074753298935
"125",125,1274,114.66,10.7079409785448,18572,125,125,89112.3145087385,94644,-68.7,44.92,"USCRN","Operational","Commissioned",70.5177,8.39748176538657
"126",126,353,31.77,5.63648826841678,19244,126,126,24204.9787048421,94645,-67.88,46.96,"USCRN","Operational","Commissioned",32.598,5.70946582440074
"127",127,2477,222.93,14.9308405657552,17386,127,127,293224.116188442,94995,-96.56,40.84,"USCRN","Operational","Commissioned",198.1386,14.0761713544557
"128",128,1330,119.7,10.9407495172863,17348,128,128,162103.530311074,94996,-96.85,40.69,"USCRN","Operational","Commissioned",109.5093,10.4646691299821
"129",129,0,0,0,28568,129,129,36.4801594627065,96404,-141.2,62.73,"USCRN","Operational","Commissioned",2.8917,1.70049992649221
"130",130,0,0,0,30401,130,130,0.192230184652786,96406,-154.12,64.5,"USCRN","Operational","Commissioned",0,0
